data,open,hight,low,close,volume
2017-07-22 22:50:00,2833.491,2837.331,2828.158,2837.325,2829.116
2017-07-22 22:55:00,2833.112,2847.199,2833.112,2837.402,2839.793
2017-07-22 23:00:00,2840.198,2840.198,2832.542,2836.594,2837.448
2017-07-22 23:05:00,2836.592,2836.592,2826.048,2826.048,2829.209
2017-07-22 23:10:00,2825.594,2825.594,2800.001,2817.244,2813.794
2017-07-22 23:15:00,2817.244,2828.286,2794.151,2822.298,2804.380
2017-07-22 23:20:00,2815.811,2815.811,2802.991,2806.685,2809.641
2017-07-22 23:25:00,2806.685,2815.112,2800.100,2811.108,2806.872
2017-07-22 23:30:00,2811.068,2816.059,2807.113,2808.428,2810.658
2017-07-22 23:35:00,2808.200,2823.965,2808.200,2823.947,2817.664
2017-07-22 23:40:00,2823.947,2831.974,2823.947,2824.000,2827.225
2017-07-22 23:45:00,2824.000,2824.000,2820.500,2822.980,2823.464
2017-07-22 23:50:00,2821.700,2823.000,2814.580,2818.984,2817.889
2017-07-22 23:55:00,2821.599,2822.899,2801.218,2813.298,2806.046
2017-07-23 00:00:00,2813.200,2813.200,2801.900,2810.900,2808.504
2017-07-23 00:05:00,2810.890,2819.484,2810.890,2819.484,2812.570
2017-07-23 00:10:00,2819.485,2829.453,2818.700,2822.976,2828.010
2017-07-23 00:15:00,2824.773,2826.988,2814.602,2815.000,2819.036
2017-07-23 00:20:00,2815.000,2815.000,2814.801,2815.000,2814.992
2017-07-23 00:25:00,2815.000,2822.211,2805.060,2816.504,2811.866
2017-07-23 00:30:00,2816.400,2817.294,2816.360,2817.294,2817.044
2017-07-23 00:35:00,2817.292,2821.595,2817.291,2817.294,2817.479
2017-07-23 00:40:00,2821.595,2839.703,2819.901,2832.208,2832.895
2017-07-23 00:45:00,2832.204,2832.206,2825.819,2832.206,2828.902
2017-07-23 00:50:00,2831.000,2831.000,2828.100,2829.547,2830.199
2017-07-23 00:55:00,2829.546,2830.999,2828.600,2828.695,2829.383
2017-07-23 01:00:00,2828.197,2828.693,2823.600,2827.899,2827.271
2017-07-23 01:05:00,2828.300,2831.000,2813.949,2815.631,2817.126
2017-07-23 01:10:00,2815.113,2815.631,2806.300,2806.781,2810.245
2017-07-23 01:15:00,2806.781,2806.781,2801.112,2801.112,2801.888
2017-07-23 01:20:00,2802.912,2802.912,2775.000,2775.000,2788.396
2017-07-23 01:25:00,2782.301,2782.301,2770.500,2772.258,2771.794
2017-07-23 01:30:00,2772.499,2783.528,2772.499,2776.474,2777.239
2017-07-23 01:35:00,2777.958,2779.641,2772.732,2772.732,2778.492
2017-07-23 01:40:00,2772.628,2775.300,2750.130,2756.290,2760.410
2017-07-23 01:45:00,2756.290,2760.680,2750.001,2758.002,2757.170
2017-07-23 01:50:00,2758.002,2785.577,2756.081,2768.016,2761.739
2017-07-23 01:55:00,2770.821,2809.712,2770.821,2800.001,2796.070
2017-07-23 02:00:00,2800.000,2820.640,2800.000,2815.057,2813.670
2017-07-23 02:05:00,2815.059,2820.637,2810.339,2810.339,2817.925
2017-07-23 02:10:00,2812.408,2812.408,2789.351,2801.567,2802.487
2017-07-23 02:15:00,2800.006,2801.538,2794.898,2796.636,2800.119
2017-07-23 02:20:00,2796.637,2816.137,2796.000,2811.768,2805.372
2017-07-23 02:25:00,2811.760,2818.523,2803.372,2816.643,2814.230
2017-07-23 02:30:00,2816.000,2833.520,2816.000,2826.606,2830.696
2017-07-23 02:35:00,2833.512,2833.512,2824.184,2824.184,2827.287
2017-07-23 02:40:00,2826.000,2831.999,2823.706,2831.900,2828.796
