data,open,hight,low,close,volume
2017-07-10 11:00:00,2408.000,2429.999,2408.000,2429.210,2421.680
2017-07-10 11:30:00,2429.210,2434.892,2370.752,2378.029,2402.598
2017-07-10 12:00:00,2378.029,2409.296,2378.029,2396.000,2397.959
2017-07-10 12:30:00,2397.364,2397.364,2362.491,2372.351,2384.330
2017-07-10 13:00:00,2372.351,2419.390,2372.000,2410.000,2401.022
2017-07-10 13:30:00,2410.000,2430.215,2397.702,2404.373,2419.232
2017-07-10 14:00:00,2405.440,2424.999,2401.000,2421.060,2414.198
2017-07-10 14:30:00,2421.070,2422.000,2410.310,2417.567,2416.901
2017-07-10 15:00:00,2418.000,2420.000,2376.822,2395.090,2399.002
2017-07-10 15:30:00,2395.080,2404.760,2391.013,2404.678,2399.105
2017-07-10 16:00:00,2404.678,2419.978,2394.331,2400.091,2409.981
2017-07-10 16:30:00,2400.091,2408.978,2397.049,2405.400,2403.330
2017-07-10 17:00:00,2402.590,2405.385,2365.000,2374.999,2382.329
2017-07-10 17:30:00,2372.537,2389.699,2365.000,2385.088,2376.383
2017-07-10 18:00:00,2383.998,2385.071,2335.009,2355.000,2352.266
2017-07-10 18:30:00,2355.000,2355.000,2312.136,2312.137,2325.505
2017-07-10 19:00:00,2315.001,2360.620,2315.000,2346.334,2334.105
2017-07-10 19:30:00,2346.334,2351.000,2310.000,2324.782,2327.518
2017-07-10 20:00:00,2324.782,2330.000,2265.965,2265.965,2293.231
2017-07-10 20:30:00,2265.100,2349.239,2265.000,2339.229,2307.814
2017-07-10 21:00:00,2336.317,2368.450,2325.010,2365.021,2351.314
2017-07-10 21:30:00,2368.445,2374.307,2348.834,2348.834,2359.532
2017-07-10 22:00:00,2348.834,2360.000,2334.664,2341.510,2350.071
2017-07-10 22:30:00,2345.557,2359.771,2345.557,2350.500,2353.206
2017-07-10 23:00:00,2350.959,2357.993,2347.101,2350.122,2353.139
2017-07-10 23:30:00,2350.333,2354.056,2308.517,2333.219,2328.544
2017-07-11 00:00:00,2333.218,2345.502,2310.859,2318.281,2327.356
2017-07-11 00:30:00,2314.033,2331.712,2302.000,2304.715,2311.968
2017-07-11 01:00:00,2304.715,2310.350,2270.140,2307.539,2287.916
2017-07-11 01:30:00,2308.705,2327.868,2298.334,2319.621,2316.217
2017-07-11 02:00:00,2313.599,2333.000,2311.069,2330.000,2329.719
2017-07-11 02:30:00,2330.000,2330.000,2300.430,2310.000,2317.465
2017-07-11 03:00:00,2309.968,2312.976,2266.002,2280.001,2282.717
2017-07-11 03:30:00,2280.001,2288.367,2252.845,2260.000,2275.833
2017-07-11 04:00:00,2259.000,2300.000,2254.000,2299.999,2279.244
2017-07-11 04:30:00,2289.000,2336.359,2281.005,2331.931,2305.006
2017-07-11 05:00:00,2322.629,2331.931,2309.062,2322.555,2317.369
2017-07-11 05:30:00,2324.423,2326.213,2300.005,2308.000,2310.245
2017-07-11 06:00:00,2305.853,2330.000,2300.012,2319.533,2317.421
2017-07-11 06:30:00,2319.533,2343.143,2316.697,2342.487,2331.152
2017-07-11 07:00:00,2342.487,2358.490,2326.195,2329.991,2347.482
2017-07-11 07:30:00,2335.136,2347.308,2330.562,2341.244,2340.150
2017-07-11 08:00:00,2341.244,2360.389,2334.032,2338.581,2346.888
2017-07-11 08:30:00,2344.229,2350.000,2336.382,2350.000,2342.769
2017-07-11 09:00:00,2350.001,2375.899,2346.259,2370.000,2362.663
2017-07-11 09:30:00,2367.945,2397.900,2361.629,2390.200,2378.312
2017-07-11 10:00:00,2392.300,2404.178,2381.844,2396.131,2394.132
2017-07-11 10:30:00,2396.130,2396.132,2350.041,2367.153,2368.709
2017-07-11 11:00:00,2367.152,2369.938,2360.381,2365.478,2366.608
2017-07-11 11:30:00,2362.409,2369.723,2345.001,2369.723,2354.963
2017-07-11 12:00:00,2364.979,2374.480,2350.494,2358.136,2361.942
2017-07-11 12:30:00,2356.441,2360.505,2345.100,2356.235,2351.902
2017-07-11 13:00:00,2356.234,2370.259,2350.071,2370.258,2356.438
2017-07-11 13:30:00,2368.520,2374.310,2359.001,2363.781,2367.168
2017-07-11 14:00:00,2359.005,2364.640,2347.951,2353.777,2355.209
2017-07-11 14:30:00,2356.601,2359.980,2340.412,2340.412,2347.603
2017-07-11 15:00:00,2340.412,2344.030,2322.586,2330.000,2334.776
2017-07-11 15:30:00,2330.000,2342.434,2326.200,2328.811,2334.916
2017-07-11 16:00:00,2330.771,2342.434,2315.000,2320.592,2328.094
2017-07-11 16:30:00,2322.582,2331.810,2301.000,2305.200,2310.126
2017-07-11 17:00:00,2301.092,2324.894,2299.753,2319.013,2309.447
2017-07-11 17:30:00,2317.160,2322.304,2299.754,2318.000,2311.982
2017-07-11 18:00:00,2318.000,2342.624,2318.000,2332.880,2336.584
2017-07-11 18:30:00,2332.880,2350.000,2318.010,2327.109,2338.335
2017-07-11 19:00:00,2327.100,2344.520,2315.080,2344.520,2327.995
2017-07-11 19:30:00,2342.001,2344.531,2322.649,2329.008,2334.314
2017-07-11 20:00:00,2329.007,2340.000,2320.000,2334.180,2329.651
2017-07-11 20:30:00,2334.181,2336.002,2302.200,2302.200,2320.767
2017-07-11 21:00:00,2302.200,2306.621,2280.525,2283.149,2296.811
2017-07-11 21:30:00,2283.149,2296.251,2251.009,2296.251,2273.389
2017-07-11 22:00:00,2292.086,2296.976,2277.971,2284.734,2285.400
2017-07-11 22:30:00,2284.001,2284.001,2251.401,2255.000,2260.196
2017-07-11 23:00:00,2257.255,2265.513,2235.000,2251.640,2250.108
