data,open,hight,low,close,volume
2017-07-17 23:00:00,2190.509,2200.000,2167.000,2167.000,2181.169
2017-07-17 23:15:00,2166.000,2179.990,2163.313,2177.000,2170.852
2017-07-17 23:30:00,2177.000,2191.418,2177.000,2177.450,2182.332
2017-07-17 23:45:00,2184.010,2199.299,2177.450,2192.280,2192.692
2017-07-18 00:00:00,2198.874,2199.300,2176.000,2178.032,2188.055
2017-07-18 00:15:00,2176.001,2184.177,2167.100,2179.000,2177.434
2017-07-18 00:30:00,2179.000,2186.600,2160.000,2160.384,2168.101
2017-07-18 00:45:00,2165.029,2165.293,2163.000,2163.001,2163.108
2017-07-18 01:00:00,2163.361,2177.791,2163.361,2176.800,2170.903
2017-07-18 01:15:00,2176.788,2176.788,2156.550,2159.976,2163.227
2017-07-18 01:30:00,2156.350,2172.268,2144.940,2157.999,2151.311
2017-07-18 01:45:00,2157.999,2192.997,2157.991,2190.000,2174.136
2017-07-18 02:00:00,2189.002,2190.000,2177.821,2179.932,2183.919
2017-07-18 02:15:00,2179.932,2183.000,2165.620,2179.780,2172.932
2017-07-18 02:30:00,2176.284,2185.000,2163.267,2180.910,2171.668
2017-07-18 02:45:00,2180.911,2230.000,2176.491,2230.000,2216.569
2017-07-18 03:00:00,2223.696,2230.000,2214.858,2226.000,2225.709
2017-07-18 03:15:00,2226.000,2247.000,2213.681,2238.010,2230.613
2017-07-18 03:30:00,2238.010,2247.000,2225.070,2230.429,2237.451
2017-07-18 03:45:00,2230.000,2235.000,2219.986,2234.950,2225.383
2017-07-18 04:00:00,2234.949,2260.000,2234.940,2256.553,2252.275
2017-07-18 04:15:00,2258.169,2262.978,2245.250,2254.983,2256.833
2017-07-18 04:30:00,2254.983,2266.658,2253.482,2266.657,2258.327
2017-07-18 04:45:00,2266.657,2273.999,2251.000,2255.419,2266.517
2017-07-18 05:00:00,2255.419,2261.238,2235.001,2261.237,2240.809
2017-07-18 05:15:00,2256.720,2268.775,2248.011,2248.012,2258.356
2017-07-18 05:30:00,2248.012,2259.251,2239.570,2251.640,2251.437
2017-07-18 05:45:00,2251.843,2252.126,2228.179,2240.000,2235.839
2017-07-18 06:00:00,2240.001,2241.000,2210.000,2216.017,2222.239
2017-07-18 06:15:00,2215.477,2238.914,2207.355,2223.151,2221.866
2017-07-18 06:30:00,2223.151,2229.551,2218.858,2227.999,2223.456
2017-07-18 06:45:00,2227.998,2239.002,2227.998,2239.002,2232.408
2017-07-18 07:00:00,2240.000,2244.990,2231.030,2232.591,2238.254
2017-07-18 07:15:00,2232.591,2233.434,2215.320,2222.989,2220.239
2017-07-18 07:30:00,2222.997,2241.919,2220.580,2241.919,2231.778
2017-07-18 07:45:00,2235.000,2253.129,2235.000,2242.020,2243.587
2017-07-18 08:00:00,2242.020,2252.010,2239.390,2252.010,2246.792
2017-07-18 08:15:00,2252.000,2274.478,2246.120,2272.000,2261.986
2017-07-18 08:30:00,2272.000,2288.610,2272.000,2284.000,2277.213
2017-07-18 08:45:00,2285.007,2299.000,2275.972,2285.000,2290.641
2017-07-18 09:00:00,2290.484,2307.860,2280.000,2302.000,2296.671
2017-07-18 09:15:00,2306.648,2307.860,2287.000,2290.480,2297.876
2017-07-18 09:30:00,2291.129,2291.130,2270.866,2286.440,2279.442
2017-07-18 09:45:00,2281.003,2297.830,2281.003,2295.940,2293.919
2017-07-18 10:00:00,2295.940,2314.000,2295.000,2310.000,2303.617
2017-07-18 10:15:00,2313.998,2315.900,2304.751,2315.886,2311.661
2017-07-18 10:30:00,2315.001,2315.900,2295.007,2298.999,2307.751
2017-07-18 10:45:00,2298.999,2322.450,2285.325,2322.000,2305.689
2017-07-18 11:00:00,2322.000,2333.614,2317.857,2333.614,2327.535
2017-07-18 11:15:00,2333.614,2346.000,2333.260,2346.000,2338.829
2017-07-18 11:30:00,2343.000,2346.000,2337.682,2343.600,2341.066
2017-07-18 11:45:00,2343.600,2346.000,2337.683,2345.000,2343.499
2017-07-18 12:00:00,2342.398,2346.000,2338.820,2343.900,2344.431
2017-07-18 12:15:00,2343.900,2349.190,2339.001,2345.000,2345.966
2017-07-18 12:30:00,2345.000,2349.000,2330.101,2337.000,2344.137
2017-07-18 12:45:00,2336.000,2349.684,2322.605,2344.000,2333.743
2017-07-18 13:00:00,2340.003,2346.334,2330.000,2330.016,2338.095
2017-07-18 13:15:00,2330.002,2330.016,2301.092,2306.999,2316.581
2017-07-18 13:30:00,2306.999,2314.664,2300.000,2300.000,2302.792
2017-07-18 13:45:00,2298.000,2300.000,2277.399,2297.099,2288.447
2017-07-18 14:00:00,2297.099,2298.999,2286.990,2296.898,2295.853
2017-07-18 14:15:00,2296.898,2299.000,2282.815,2298.000,2295.717
2017-07-18 14:30:00,2298.000,2340.816,2294.202,2334.100,2304.668
2017-07-18 14:45:00,2332.846,2340.000,2310.000,2325.735,2328.884
2017-07-18 15:00:00,2325.736,2330.000,2318.600,2330.000,2329.012
2017-07-18 15:15:00,2330.000,2359.999,2330.000,2357.806,2349.951
2017-07-18 15:30:00,2357.800,2357.800,2325.000,2347.995,2344.889
2017-07-18 15:45:00,2340.500,2350.101,2331.700,2344.698,2346.328
2017-07-18 16:00:00,2344.999,2350.101,2333.023,2344.900,2347.298
2017-07-18 16:15:00,2344.900,2375.000,2341.680,2363.052,2364.392
2017-07-18 16:30:00,2363.029,2367.990,2350.104,2358.000,2359.307
2017-07-18 16:45:00,2358.000,2360.964,2350.103,2360.964,2355.667
2017-07-18 17:00:00,2356.201,2380.000,2356.201,2372.117,2368.559
2017-07-18 17:15:00,2380.000,2394.813,2374.570,2394.001,2387.595
2017-07-18 17:30:00,2394.001,2400.000,2390.200,2399.800,2394.996
2017-07-18 17:45:00,2399.800,2399.800,2345.109,2349.901,2375.787
2017-07-18 18:00:00,2349.901,2390.253,2345.211,2348.249,2360.501
2017-07-18 18:15:00,2348.249,2369.999,2345.000,2349.001,2350.596
2017-07-18 18:30:00,2349.001,2370.000,2348.253,2361.000,2360.444
2017-07-18 18:45:00,2360.000,2360.000,2348.300,2350.000,2351.552
2017-07-18 19:00:00,2350.000,2353.377,2348.000,2348.501,2349.327
2017-07-18 19:15:00,2348.502,2348.957,2300.512,2315.514,2324.963
2017-07-18 19:30:00,2300.522,2312.020,2292.901,2292.901,2298.594
2017-07-18 19:45:00,2292.901,2292.901,2263.512,2277.500,2275.148
2017-07-18 20:00:00,2275.500,2298.888,2275.500,2292.901,2287.019
2017-07-18 20:15:00,2292.901,2300.930,2280.894,2300.930,2291.768
2017-07-18 20:30:00,2304.480,2316.952,2299.001,2316.952,2307.351
2017-07-18 20:45:00,2316.952,2316.952,2304.014,2310.800,2311.106
2017-07-18 21:00:00,2310.800,2314.999,2283.799,2290.000,2298.614
2017-07-18 21:15:00,2290.000,2290.482,2274.950,2280.002,2282.131
2017-07-18 21:30:00,2280.002,2286.699,2271.751,2276.613,2279.583
2017-07-18 21:45:00,2276.500,2276.609,2242.606,2259.302,2257.036
2017-07-18 22:00:00,2259.302,2270.699,2250.673,2261.464,2264.111
2017-07-18 22:15:00,2251.001,2267.405,2251.000,2257.750,2257.004
2017-07-18 22:30:00,2257.750,2280.884,2250.000,2280.884,2265.801
2017-07-18 22:45:00,2277.500,2299.400,2277.500,2288.528,2290.313
2017-07-18 23:00:00,2288.528,2290.400,2278.528,2278.528,2283.069
2017-07-18 23:15:00,2278.528,2278.528,2269.998,2270.101,2272.601
2017-07-18 23:30:00,2270.601,2272.001,2259.828,2268.999,2268.605
2017-07-18 23:45:00,2266.504,2287.000,2260.501,2286.796,2272.437
2017-07-19 00:00:00,2286.796,2304.991,2285.990,2304.157,2297.426
2017-07-19 00:15:00,2299.900,2350.190,2295.502,2343.800,2326.180
2017-07-19 00:30:00,2343.800,2359.776,2329.864,2346.567,2348.377
2017-07-19 00:45:00,2346.558,2349.278,2344.158,2344.158,2347.311
